Origin ZIP,Origin Neighborhood,Destination ZIP,Destination Neighborhood,Mode,Distance (mi),Duration (min)
11201,"Brooklyn Heights, DUMBO",11203,"East Flatbush, Erasmus",driving,5.2,29
11201,"Brooklyn Heights, DUMBO",11203,"East Flatbush, Erasmus",bicycling,5.7,35
11201,"Brooklyn Heights, DUMBO",11204,"Bensonhurst, Mapleton",driving,8.6,27
11201,"Brooklyn Heights, DUMBO",11204,"Bensonhurst, Mapleton",bicycling,7.5,43
11201,"Brooklyn Heights, DUMBO",11205,"Fort Greene, Clinton Hill",driving,2.3,10
11201,"Brooklyn Heights, DUMBO",11205,"Fort Greene, Clinton Hill",bicycling,2.2,14
11201,"Brooklyn Heights, DUMBO",11206,"Williamsburg, Bushwick",driving,4.1,15
11201,"Brooklyn Heights, DUMBO",11206,"Williamsburg, Bushwick",bicycling,3.0,19
11201,"Brooklyn Heights, DUMBO",11207,"East New York, Cypress Hills",driving,6.3,33
11201,"Brooklyn Heights, DUMBO",11207,"East New York, Cypress Hills",bicycling,7.1,41
11201,"Brooklyn Heights, DUMBO",11208,"Cypress Hills, East New York",driving,7.1,37
11201,"Brooklyn Heights, DUMBO",11208,"Cypress Hills, East New York",bicycling,7.8,45
11201,"Brooklyn Heights, DUMBO",11209,Bay Ridge,driving,8.4,22
11201,"Brooklyn Heights, DUMBO",11209,Bay Ridge,bicycling,7.1,40
11201,"Brooklyn Heights, DUMBO",11210,"Flatbush, Midwood",driving,5.9,32
11201,"Brooklyn Heights, DUMBO",11210,"Flatbush, Midwood",bicycling,6.6,39
11201,"Brooklyn Heights, DUMBO",11211,Williamsburg,driving,2.6,6
11201,"Brooklyn Heights, DUMBO",11211,Williamsburg,bicycling,2.9,18
11201,"Brooklyn Heights, DUMBO",11212,Brownsville,driving,5.2,29
11201,"Brooklyn Heights, DUMBO",11212,Brownsville,bicycling,5.7,35
11201,"Brooklyn Heights, DUMBO",11213,Crown Heights,driving,3.6,19
11201,"Brooklyn Heights, DUMBO",11213,Crown Heights,bicycling,4.0,25
11201,"Brooklyn Heights, DUMBO",11214,"Bensonhurst, Bath Beach",driving,9.4,28
11201,"Brooklyn Heights, DUMBO",11214,"Bensonhurst, Bath Beach",bicycling,8.7,50
11201,"Brooklyn Heights, DUMBO",11215,"Park Slope, Gowanus",driving,2.5,16
11201,"Brooklyn Heights, DUMBO",11215,"Park Slope, Gowanus",bicycling,2.9,20
11201,"Brooklyn Heights, DUMBO",11216,"Bedford-Stuyvesant, Crown Heights",driving,3.0,19
11201,"Brooklyn Heights, DUMBO",11216,"Bedford-Stuyvesant, Crown Heights",bicycling,3.4,23
11201,"Brooklyn Heights, DUMBO",11217,"Park Slope, Boerum Hill",driving,1.4,9
11201,"Brooklyn Heights, DUMBO",11217,"Park Slope, Boerum Hill",bicycling,1.7,11
11201,"Brooklyn Heights, DUMBO",11218,"Windsor Terrace, Kensington",driving,5.4,16
11201,"Brooklyn Heights, DUMBO",11218,"Windsor Terrace, Kensington",bicycling,5.0,29
11201,"Brooklyn Heights, DUMBO",11219,Borough Park,driving,8.3,26
11201,"Brooklyn Heights, DUMBO",11219,Borough Park,bicycling,6.4,37
11201,"Brooklyn Heights, DUMBO",11220,"Sunset Park, Greenwood",driving,6.8,19
11201,"Brooklyn Heights, DUMBO",11220,"Sunset Park, Greenwood",bicycling,5.3,31
11201,"Brooklyn Heights, DUMBO",11221,"Bedford-Stuyvesant, Bushwick",driving,4.2,22
11201,"Brooklyn Heights, DUMBO",11221,"Bedford-Stuyvesant, Bushwick",bicycling,4.1,25
11201,"Brooklyn Heights, DUMBO",11222,Greenpoint,driving,4.5,13
11201,"Brooklyn Heights, DUMBO",11222,Greenpoint,bicycling,4.3,25
11201,"Brooklyn Heights, DUMBO",11223,"Gravesend, Homecrest",driving,9.6,32
11201,"Brooklyn Heights, DUMBO",11223,"Gravesend, Homecrest",bicycling,9.0,52
11201,"Brooklyn Heights, DUMBO",11224,Coney Island,driving,13.1,28
11201,"Brooklyn Heights, DUMBO",11224,Coney Island,bicycling,10.9,64
11201,"Brooklyn Heights, DUMBO",11225,"Prospect Lefferts Gardens, Wingate",driving,3.1,20
11201,"Brooklyn Heights, DUMBO",11225,"Prospect Lefferts Gardens, Wingate",bicycling,3.7,24
11201,"Brooklyn Heights, DUMBO",11226,Flatbush,driving,4.3,25
11201,"Brooklyn Heights, DUMBO",11226,Flatbush,bicycling,5.0,31
11201,"Brooklyn Heights, DUMBO",11228,Dyker Heights,driving,8.3,21
11201,"Brooklyn Heights, DUMBO",11228,Dyker Heights,bicycling,8.0,46
11201,"Brooklyn Heights, DUMBO",11229,"Sheepshead Bay, Madison",driving,15.8,34
11201,"Brooklyn Heights, DUMBO",11229,"Sheepshead Bay, Madison",bicycling,8.5,49
11201,"Brooklyn Heights, DUMBO",11230,Midwood,driving,8.0,25
11201,"Brooklyn Heights, DUMBO",11230,Midwood,bicycling,7.4,43
11201,"Brooklyn Heights, DUMBO",11231,"Carroll Gardens, Red Hook",driving,3.8,15
11201,"Brooklyn Heights, DUMBO",11231,"Carroll Gardens, Red Hook",bicycling,2.6,16
11201,"Brooklyn Heights, DUMBO",11232,"Sunset Park, Industry City",driving,4.8,17
11201,"Brooklyn Heights, DUMBO",11232,"Sunset Park, Industry City",bicycling,4.2,25
11201,"Brooklyn Heights, DUMBO",11233,"Bedford-Stuyvesant, Ocean Hill",driving,4.4,25
11201,"Brooklyn Heights, DUMBO",11233,"Bedford-Stuyvesant, Ocean Hill",bicycling,4.9,31
11201,"Brooklyn Heights, DUMBO",11234,"Marine Park, Mill Basin",driving,22.7,36
11201,"Brooklyn Heights, DUMBO",11234,"Marine Park, Mill Basin",bicycling,12.2,68
11201,"Brooklyn Heights, DUMBO",11235,"Brighton Beach, Manhattan Beach",driving,15.8,30
11201,"Brooklyn Heights, DUMBO",11235,"Brighton Beach, Manhattan Beach",bicycling,9.4,55
11201,"Brooklyn Heights, DUMBO",11236,"Canarsie, Bergen Beach",driving,20.8,36
11201,"Brooklyn Heights, DUMBO",11236,"Canarsie, Bergen Beach",bicycling,8.1,48
11201,"Brooklyn Heights, DUMBO",11238,"Prospect Heights, Clinton Hill",driving,2.0,12
11201,"Brooklyn Heights, DUMBO",11238,"Prospect Heights, Clinton Hill",bicycling,2.5,17
11201,"Brooklyn Heights, DUMBO",11239,Starrett City,driving,22.4,37
11201,"Brooklyn Heights, DUMBO",11239,Starrett City,bicycling,8.8,51
11203,"East Flatbush, Erasmus",11201,"Brooklyn Heights, DUMBO",driving,8.4,38
11203,"East Flatbush, Erasmus",11201,"Brooklyn Heights, DUMBO",bicycling,5.7,35
11203,"East Flatbush, Erasmus",11204,"Bensonhurst, Mapleton",driving,4.7,27
11203,"East Flatbush, Erasmus",11204,"Bensonhurst, Mapleton",bicycling,4.3,26
11203,"East Flatbush, Erasmus",11205,"Fort Greene, Clinton Hill",driving,4.3,22
11203,"East Flatbush, Erasmus",11205,"Fort Greene, Clinton Hill",bicycling,4.0,24
11203,"East Flatbush, Erasmus",11206,"Williamsburg, Bushwick",driving,4.3,26
11203,"East Flatbush, Erasmus",11206,"Williamsburg, Bushwick",bicycling,4.4,27
